ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000852.SH,2005-01-04,989.984,996.278,996.278,982.988,1000.0,-10.016,-1.0016,494737.55,259589.539
000852.SH,2005-01-05,1013.583,989.873,1018.261,988.568,989.984,23.599,2.3838,822661.44,441803.03
000852.SH,2005-01-06,1005.465,1014.965,1014.965,1001.213,1013.583,-8.118,-0.8009,732454.01,386428.399
000852.SH,2005-01-07,1011.74,1005.515,1021.706,1001.096,1005.465,6.275,0.6241,758240.02,443201.562
000852.SH,2005-01-10,1023.638,1011.925,1023.638,1007.802,1011.74,11.898,1.176,596927.64,334380.575
000852.SH,2005-01-11,1027.159,1024.036,1027.159,1017.792,1023.638,3.521,0.344,782625.85,422969.885
000852.SH,2005-01-12,1024.92,1026.741,1026.741,1014.768,1027.159,-2.239,-0.218,762477.1,414983.403
000852.SH,2005-01-13,1029.298,1024.132,1030.486,1020.67,1024.92,4.378,0.4272,1021112.01,596290.832
000852.SH,2005-01-14,1011.875,1028.99,1034.589,1011.44,1029.298,-17.423,-1.6927,864133.52,489983.019
000852.SH,2005-01-17,986.661,1002.333,1002.333,984.384,1011.875,-25.214,-2.4918,921192.16,523647.613
000852.SH,2005-01-18,1008.107,985.674,1008.483,985.674,986.661,21.446,2.1736,990504.23,501013.308
000852.SH,2005-01-19,1002.46,1007.109,1008.221,997.623,1008.107,-5.647,-0.5602,1162300.13,579483.565
000852.SH,2005-01-20,989.441,999.93,999.93,982.423,1002.46,-13.019,-1.2987,1108445.45,574109.085
000852.SH,2005-01-21,1006.25,987.432,1007.924,966.077,989.441,16.809,1.6988,1660074.32,854971.965
000852.SH,2005-01-24,1028.011,1028.014,1028.999,1016.091,1006.25,21.761,2.1626,1778422.99,956858.403
000852.SH,2005-01-25,1015.1,1023.096,1023.096,1005.488,1028.011,-12.911,-1.2559,1290204.95,684957.954
000852.SH,2005-01-26,1006.84,1014.253,1015.128,1004.606,1015.1,-8.26,-0.8137,1205919.1,644322.041
000852.SH,2005-01-27,989.414,1005.889,1005.889,988.116,1006.84,-17.426,-1.7308,1151757.26,587830.237
000852.SH,2005-01-28,963.005,989.414,989.414,960.244,989.414,-26.409,-2.6692,1073928.0,533650.469
000852.SH,2005-01-31,924.166,954.944,954.944,923.126,963.005,-38.839,-4.0331,1143886.61,568290.192
000852.SH,2005-02-01,905.802,917.296,929.22,905.209,924.166,-18.364,-1.9871,1107525.14,553877.868
000852.SH,2005-02-02,958.392,904.128,959.993,904.128,905.802,52.59,5.8059,1528858.65,785164.718
000852.SH,2005-02-03,936.861,956.729,962.258,936.508,958.392,-21.531,-2.2466,1386026.79,693933.906
000852.SH,2005-02-04,952.392,937.15,954.908,934.96,936.861,15.531,1.6578,1277179.64,625729.83
000852.SH,2005-02-16,966.385,959.281,975.5,958.477,952.392,13.993,1.4692,1251498.7,607772.54
000852.SH,2005-02-17,973.808,966.036,973.808,957.801,966.385,7.423,0.7681,1127479.45,532734.95
000852.SH,2005-02-18,964.005,973.19,974.213,963.76,973.808,-9.803,-1.0067,1079202.54,523135.989
000852.SH,2005-02-21,983.608,963.578,983.685,963.578,964.005,19.603,2.0335,1311630.55,667415.493
000852.SH,2005-02-22,1015.658,983.96,1016.375,982.757,983.608,32.05,3.2584,2277205.95,1264275.078
000852.SH,2005-02-23,1032.895,1016.768,1038.911,1010.434,1015.658,17.237,1.6971,2613755.15,1538436.291
000852.SH,2005-02-24,1035.348,1031.754,1037.78,1023.296,1032.895,2.453,0.2375,2337970.98,1364538.388
000852.SH,2005-02-25,1032.413,1034.536,1046.989,1032.319,1035.348,-2.935,-0.2835,2256679.12,1328017.351
000852.SH,2005-02-28,1029.384,1032.182,1034.462,1021.861,1032.413,-3.029,-0.2934,1734785.62,1019363.572
000852.SH,2005-03-01,1030.815,1028.613,1031.544,1018.99,1029.384,1.431,0.139,1470517.11,820164.592
000852.SH,2005-03-02,1014.527,1031.502,1038.35,1013.831,1030.815,-16.288,-1.5801,1831920.94,1033918.085
000852.SH,2005-03-03,1020.248,1011.26,1021.446,1003.213,1014.527,5.721,0.5639,1327873.74,700373.468
000852.SH,2005-03-04,1011.361,1020.55,1022.232,1009.842,1020.248,-8.887,-0.8711,1103897.62,609366.074
000852.SH,2005-03-07,1013.594,1011.808,1016.56,1009.266,1011.361,2.233,0.2208,972267.64,557313.567
000852.SH,2005-03-08,1037.029,1014.257,1037.056,1014.257,1013.594,23.435,2.3121,1594232.67,1002768.664
000852.SH,2005-03-09,1042.182,1039.514,1044.005,1034.475,1037.029,5.153,0.4969,1880125.66,1069727.043
000852.SH,2005-03-10,1011.791,1042.737,1043.317,1008.397,1042.182,-30.391,-2.9161,1735186.74,1040762.076
000852.SH,2005-03-11,1017.453,1009.981,1018.112,1005.951,1011.791,5.662,0.5596,1401692.22,823588.167
000852.SH,2005-03-14,1005.987,1016.721,1016.721,990.343,1017.453,-11.466,-1.1269,1561112.06,932085.419
000852.SH,2005-03-15,993.476,1005.509,1007.547,991.232,1005.987,-12.511,-1.2437,1329083.79,785187.317
000852.SH,2005-03-16,982.837,991.748,991.772,977.602,993.476,-10.639,-1.0709,1105233.63,645896.393
000852.SH,2005-03-17,967.593,980.918,984.38,967.484,982.837,-15.244,-1.551,1127534.0,627814.45
000852.SH,2005-03-18,946.705,965.175,969.385,943.693,967.593,-20.888,-2.1588,1217741.92,658828.649
000852.SH,2005-03-21,950.792,945.762,952.092,939.185,946.705,4.087,0.4317,883849.41,502887.285
000852.SH,2005-03-22,915.939,950.797,951.15,915.73,950.792,-34.853,-3.6657,1196442.83,646892.698
000852.SH,2005-03-23,915.974,915.037,933.531,909.337,915.939,0.035,0.0038,1184107.23,675843.06
000852.SH,2005-03-24,928.54,914.468,928.683,906.579,915.974,12.566,1.3719,1046097.77,660406.051
000852.SH,2005-03-25,923.196,928.734,928.734,918.786,928.54,-5.344,-0.5755,1055056.66,600489.694
000852.SH,2005-03-28,911.354,921.887,921.887,896.945,923.196,-11.842,-1.2827,961090.42,489989.131
000852.SH,2005-03-29,904.823,910.674,919.164,904.73,911.354,-6.531,-0.7166,886913.79,451712.056
000852.SH,2005-03-30,869.583,902.009,902.009,868.892,904.823,-35.24,-3.8947,1084932.5,549417.551
000852.SH,2005-03-31,880.901,868.266,880.905,860.416,869.583,11.318,1.3015,925705.95,441395.017
000852.SH,2005-04-01,913.851,880.26,921.489,870.596,880.901,32.95,3.7405,1670438.32,824177.193
000852.SH,2005-04-04,896.287,904.544,909.314,890.295,913.851,-17.564,-1.922,1289542.53,643128.136
000852.SH,2005-04-05,886.196,894.29,898.45,884.662,896.287,-10.091,-1.1259,1062394.66,494005.305
000852.SH,2005-04-06,898.875,886.196,903.121,874.029,886.196,12.679,1.4307,1298918.75,676588.388
000852.SH,2005-04-07,913.657,898.602,925.782,897.648,898.875,14.782,1.6445,1973750.64,1024571.087
000852.SH,2005-04-08,931.379,913.339,931.875,909.868,913.657,17.722,1.9397,1676923.87,853763.902
000852.SH,2005-04-11,931.969,930.516,940.149,924.601,931.379,0.59,0.0633,1672758.1,864273.409
000852.SH,2005-04-12,905.866,930.972,930.972,905.773,931.969,-26.103,-2.8008,1276594.47,656486.793
000852.SH,2005-04-13,929.111,908.757,929.663,908.757,905.866,23.245,2.5661,1547536.0,792163.436
000852.SH,2005-04-14,916.35,931.785,932.908,914.618,929.111,-12.761,-1.3735,1699260.94,917913.232
000852.SH,2005-04-15,887.932,912.675,912.675,886.007,916.35,-28.418,-3.1012,1760858.58,884247.572
000852.SH,2005-04-18,868.325,882.408,882.408,862.173,887.932,-19.607,-2.2082,1084737.29,511594.3
000852.SH,2005-04-19,867.228,867.351,871.669,856.702,868.325,-1.097,-0.1263,962069.04,454128.724
000852.SH,2005-04-20,844.932,866.654,866.654,843.772,867.228,-22.296,-2.571,1237491.37,589274.625
000852.SH,2005-04-21,826.053,843.569,846.79,820.479,844.932,-18.879,-2.2344,1425269.04,640097.208
000852.SH,2005-04-22,806.645,823.621,826.766,800.953,826.053,-19.408,-2.3495,1448845.48,634696.733
000852.SH,2005-04-25,789.538,792.106,794.463,778.244,806.645,-17.107,-2.1208,1283510.21,545752.9
